解析到 181 手
加载表: full
  手 方  招         前值    走后    最佳    判定        羊  备注
 78 羊  C2→D2     和棋         和棋    和棋    完美        8  着:胜0/和12/败0
 79 狼  C1→C2     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 80 羊  C4→C3     和棋         和棋    和棋    完美        8  着:胜0/和5/败7
 81 狼  D3→E3     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 82 羊  D2→D3     和棋         和棋    和棋    完美        8  着:胜0/和14/败2
 83 狼  E3→E2     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 84 羊  D1→D2     和棋         和棋    和棋    完美        8  着:胜0/和15/败1
 85 狼  C2→C1     和棋         和棋    和棋    完美        8  吃:安全1/毒0
 86 羊  B2→C2     和棋         和棋    和棋    完美        8  着:胜0/和15/败0
 87 狼  C1→D1     和棋         和棋    和棋    完美        8  吃:安全1/毒0
 88 羊  B1→B2     和棋         和棋    和棋    完美        8  着:胜0/和13/败0
 89 狼  E2→E4吃    和棋         和棋    和棋    完美        7  吃:安全1/毒0
 90 羊  D3→E3     和棋         和棋    和棋    完美        7  着:胜0/和11/败0
 91 狼  D1→E1     和棋         和棋    和棋    完美        7  吃:安全0/毒0
 92 羊  D2→E2     和棋         和棋    和棋    完美        7  着:胜0/和14/败2
 93 狼  E1→D1     和棋         和棋    和棋    完美        7  吃:安全0/毒0
 94 羊  C2→D2     和棋         和棋    和棋    完美        7  着:胜0/和13/败2
 95 狼  D1→C1     和棋         和棋    和棋    完美        7  吃:安全0/毒0
 96 羊  D2→C2     和棋         和棋    和棋    完美        7  着:胜0/和13/败4
 97 狼  C1→D1     和棋         和棋    和棋    完美        7  吃:安全0/毒0
 98 羊  E2→D2     和棋         和棋    和棋    完美        7  着:胜0/和13/败2
 99 狼  D1→E1     和棋         和棋    和棋    完美        7  吃:安全0/毒0
100 羊  E3→D3     和棋         和棋    和棋    完美        7  着:胜0/和14/败2
101 狼  E1→D1     和棋         和棋    和棋    完美        7  吃:安全0/毒0
102 羊  C2→C1     和棋         和棋    和棋    完美        7  着:胜0/和11/败0
103 狼  D1→E1     和棋         和棋    和棋    完美        7  吃:安全0/毒0
104 羊  C1→D1     和棋         和棋    和棋    完美        7  着:胜0/和16/败1
105 狼  E1→E2     和棋         和棋    和棋    完美        7  吃:安全0/毒0
106 羊  B2→C2     和棋         和棋    和棋    完美        7  着:胜0/和13/败1
107 狼  E2→E3     和棋         和棋    和棋    完美        7  吃:安全0/毒0
108 羊  D2→E2     和棋         和棋    和棋    完美        7  着:胜0/和9/败1
109 狼  E4→E5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
110 羊  C3→C4     和棋         和棋    和棋    完美        7  着:胜0/和13/败2
111 狼  E5→E4     和棋         和棋    和棋    完美        7  吃:安全0/毒0
112 羊  C4→B4     和棋         和棋    和棋    完美        7  着:胜0/和14/败0
113 狼  E4→E5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
114 羊  C2→C3     和棋         和棋    和棋    完美        7  着:胜0/和19/败0
115 狼  E5→E4     和棋         和棋    和棋    完美        7  吃:安全0/毒0
116 羊  D1→D2     和棋         和棋    和棋    完美        7  着:胜0/和15/败1
117 狼  E4→E5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
118 羊  D2→C2     和棋         和棋    和棋    完美        7  着:胜0/和14/败0
119 狼  E5→E4     和棋         和棋    和棋    完美        7  吃:安全0/毒0
